bioguide_id,year_quarter,year,emi_mean,n,party_name,chamber,channel,legislative_opposition,presidential_opposition
A000055,2014Q2,2014,0.08597206247565614,28,Republican Party,H,Twitter,0,1
A000055,2017Q3,2017,-0.3016219645449357,24,Republican Party,H,Twitter,0,0
A000055,2019Q1,2019,-0.29511374020257974,22,Republican Party,H,Twitter,1,0
A000055,2020Q3,2020,0.3900505132648534,56,Republican Party,H,Twitter,1,0
A000360,2013Q1,2013,-0.10797206521611977,38,Republican Party,S,Twitter,1,1
A000360,2013Q2,2013,0.02424467704011914,73,Republican Party,S,Twitter,1,1
A000360,2013Q3,2013,-0.016922667752168694,54,Republican Party,S,Twitter,1,1
A000360,2013Q4,2013,-0.3671441660936244,79,Republican Party,S,Twitter,1,1
A000360,2014Q2,2014,0.011578496768799785,76,Republican Party,S,Twitter,1,1
A000360,2014Q3,2014,-0.13465313649463573,94,Republican Party,S,Twitter,1,1
A000360,2015Q1,2015,0.3096079550063902,132,Republican Party,S,Twitter,0,1
A000360,2015Q3,2015,0.2519085167631326,128,Republican Party,S,Twitter,0,1
A000360,2015Q4,2015,0.22838744932752023,119,Republican Party,S,Twitter,0,1
A000360,2016Q2,2016,0.3081430054261897,143,Republican Party,S,Twitter,0,1
A000360,2016Q3,2016,0.3735922915302015,119,Republican Party,S,Twitter,0,1
A000360,2016Q4,2016,0.4350673844781088,107,Republican Party,S,Twitter,0,1
A000360,2017Q1,2017,0.29172561398642033,223,Republican Party,S,Twitter,0,0
A000360,2017Q4,2017,0.9476702466003064,197,Republican Party,S,Twitter,0,0
A000360,2018Q1,2018,0.7704190825500213,252,Republican Party,S,Twitter,0,0
A000360,2018Q2,2018,0.8916048538392456,360,Republican Party,S,Twitter,0,0
A000360,2018Q3,2018,0.9128685672967295,459,Republican Party,S,Twitter,0,0
A000360,2018Q4,2018,0.5572527594712161,362,Republican Party,S,Twitter,0,0
A000360,2019Q1,2019,0.723647896569215,489,Republican Party,S,Twitter,0,0
A000360,2019Q2,2019,0.795153566635035,500,Republican Party,S,Twitter,0,0
A000360,2019Q3,2019,0.6060128478627629,291,Republican Party,S,Twitter,0,0
A000360,2019Q4,2019,0.7500569201984851,308,Republican Party,S,Twitter,0,0
A000360,2020Q2,2020,0.8834231884102356,340,Republican Party,S,Twitter,0,0
A000360,2020Q3,2020,0.7815075380590784,173,Republican Party,S,Twitter,0,0
A000370,2015Q1,2015,-0.003431841325720841,142,Democratic Party,H,Twitter,1,0
A000370,2015Q4,2015,0.09966481184564507,109,Democratic Party,H,Twitter,1,0
A000370,2016Q1,2016,0.10834825934032807,105,Democratic Party,H,Twitter,1,0
A000370,2017Q4,2017,-0.17428738185633338,357,Democratic Party,H,Twitter,1,1
A000370,2019Q4,2019,-0.052707379652477494,250,Democratic Party,H,Twitter,0,1
A000371,2021Q2,2021,0.2650345037915291,94,Democratic Party,H,Twitter,0,0
A000372,2015Q3,2015,0.023143426094974932,45,Republican Party,H,Twitter,0,1
A000372,2015Q4,2015,0.011380388214070492,34,Republican Party,H,Twitter,0,1
A000372,2016Q1,2016,0.2471752458788907,41,Republican Party,H,Twitter,0,1
A000372,2016Q2,2016,0.19058885095027653,84,Republican Party,H,Twitter,0,1
A000372,2016Q3,2016,0.010462904539575272,68,Republican Party,H,Twitter,0,1
A000372,2017Q1,2017,0.17648162400084752,142,Republican Party,H,Twitter,0,0
A000372,2017Q4,2017,0.3501818574822351,81,Republican Party,H,Twitter,0,0
A000372,2018Q2,2018,0.48520098655157434,93,Republican Party,H,Twitter,0,0
A000372,2019Q2,2019,0.4279812891224849,78,Republican Party,H,Twitter,1,0
A000372,2019Q4,2019,-0.1855673562909751,61,Republican Party,H,Twitter,1,0
A000372,2020Q3,2020,0.39147889512512374,136,Republican Party,H,Twitter,1,0
A000372,2022Q3,2022,0.12458244657836387,68,Republican Party,H,Twitter,1,1
A000374,2015Q3,2015,-0.30705463993976323,26,Republican Party,H,Twitter,0,1
A000374,2016Q1,2016,-0.11194419969155327,10,Republican Party,H,Twitter,0,1
A000375,2017Q1,2017,-0.33410290611664156,95,Republican Party,H,Twitter,0,0
A000375,2017Q3,2017,-0.11156792972749006,59,Republican Party,H,Twitter,0,0
A000375,2017Q4,2017,0.16467694034724537,88,Republican Party,H,Twitter,0,0
A000375,2018Q2,2018,0.07783340974712848,261,Republican Party,H,Twitter,0,0
A000375,2018Q3,2018,0.13625174332581147,183,Republican Party,H,Twitter,0,0
A000375,2019Q4,2019,-0.2823574257004568,163,Republican Party,H,Twitter,1,0
A000375,2020Q3,2020,-0.5114891538532637,134,Republican Party,H,Twitter,1,0
A000375,2021Q1,2021,-0.7002088748222342,173,Republican Party,H,Twitter,1,1
A000375,2021Q4,2021,-0.8633640742238265,96,Republican Party,H,Twitter,1,1
A000375,2022Q2,2022,-0.6950582369643172,95,Republican Party,H,Twitter,1,1
A000375,2022Q3,2022,-0.7306792338881575,195,Republican Party,H,Twitter,1,1
A000377,2020Q3,2020,0.24565498916329337,123,Republican Party,H,Twitter,1,0
A000377,2020Q4,2020,-0.2605415712957306,47,Republican Party,H,Twitter,1,0
B000490,2013Q2,2013,0.293719896497435,74,Democratic Party,H,Twitter,1,0
B000490,2013Q4,2013,0.4448323210946141,92,Democratic Party,H,Twitter,1,0
B000490,2014Q2,2014,0.18429112014871832,77,Democratic Party,H,Twitter,1,0
B000490,2015Q2,2015,0.49261103937851825,38,Democratic Party,H,Twitter,1,0
B000490,2016Q2,2016,0.5000072374512704,51,Democratic Party,H,Twitter,1,0
B000490,2019Q1,2019,0.061584849699427686,66,Democratic Party,H,Twitter,0,1
B000490,2019Q2,2019,0.1002000588695751,43,Democratic Party,H,Twitter,0,1
B000575,2013Q1,2013,0.17170615231976766,412,Republican Party,S,Twitter,1,1
B000575,2013Q2,2013,0.0865842471724185,337,Republican Party,S,Twitter,1,1
B000575,2013Q4,2013,-0.09252845214599853,169,Republican Party,S,Twitter,1,1
B000575,2014Q1,2014,0.2563975109889102,187,Republican Party,S,Twitter,1,1
B000575,2014Q2,2014,0.129816650065749,331,Republican Party,S,Twitter,1,1
B000575,2014Q3,2014,0.17516506684001726,233,Republican Party,S,Twitter,1,1
B000575,2015Q1,2015,-0.16018297551453117,228,Republican Party,S,Twitter,0,1
B000575,2015Q2,2015,0.275849932118378,254,Republican Party,S,Twitter,0,1
B000575,2015Q4,2015,0.48810327263191344,377,Republican Party,S,Twitter,0,1
B000575,2016Q1,2016,0.7343501791874322,403,Republican Party,S,Twitter,0,1
